"annotation_id","annotator","created_at","id","img","kp-1","lead_time","updated_at"
191,"1","2025-11-06T12:22:18.470039Z",189,"/data/upload/3/69a57121-203_Color.png","[{""x"":15.334510356199882,""y"":72.56407142028924,""width"":1.3696284882725558,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":29.55141360688206,""y"":44.38901720644976,""width"":1.3696284882725558,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":45.66830710740314,""y"":38.99031060550274,""width"":1.3696284882725558,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":30.90581711092069,""y"":22.545536666958395,""width"":1.3696284882725558,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":51.731001668958896,""y"":23.496256318300183,""width"":1.3696284882725558,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":43.88382612314168,""y"":45.023175804124214,""width"":1.3696284882725558,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":63.199953164964704,""y"":46.61901989371233,""width"":1.3696284882725558,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":75.51398415412687,""y"":72.72974552973912,""width"":1.3696284882725558,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",35.318,"2025-11-06T12:22:18.470051Z"
192,"1","2025-11-06T12:22:44.628235Z",190,"/data/upload/3/afc90cda-204_Color.png","[{""x"":16.49634816588211,""y"":68.52441043082325,""width"":1.3696284882725558,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":30.594971307653452,""y"":41.486637229676646,""width"":1.3696284882725558,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":25.74309970006804,""y"":19.339766463465917,""width"":1.3696284882725558,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":45.86783849689601,""y"":18.971433958633387,""width"":1.3696284882725558,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":43.91645651807806,""y"":41.03252917342047,""width"":1.3696284882725558,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":60.89806843212613,""y"":41.72008801055738,""width"":1.3696284882725558,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":76.36360817847097,""y"":65.44846965739883,""width"":1.3696284882725558,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",25.819,"2025-11-06T12:22:44.628250Z"
193,"1","2025-11-06T12:23:12.056470Z",191,"/data/upload/3/b5907f96-205_Color.png","[{""x"":20.033063515055684,""y"":66.43046150380275,""width"":1.3696284882725558,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":25.821654105808317,""y"":42.648292440692195,""width"":1.3696284882725558,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":44.37919452910353,""y"":37.95570337723281,""width"":1.3696284882725558,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":27.013421255045262,""y"":19.408804586074236,""width"":1.3696284882725558,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":46.762738338979716,""y"":19.728029172497312,""width"":1.3696284882725558,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":42.336162555896706,""y"":41.02025133704303,""width"":1.3696284882725558,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":56.86438992092293,""y"":43.0952056848312,""width"":1.3696284882725558,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":58.56691606466181,""y"":69.65461839438643,""width"":1.3696284882725558,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",27.075,"2025-11-06T12:23:12.056481Z"
194,"1","2025-11-06T12:24:15.814036Z",192,"/data/upload/3/cde4da5c-206_Color.png","[{""x"":26.445913875399285,""y"":73.19800491505032,""width"":1.3696284882725558,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":29.056454730052433,""y"":46.06398652089735,""width"":1.3696284882725558,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":42.79016966105378,""y"":40.63718284206675,""width"":1.3696284882725558,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":24.62988595537113,""y"":23.55871033951726,""width"":1.3696284882725558,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":44.37919052430254,""y"":23.431023783325138,""width"":1.3696284882725558,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":42.90367143734304,""y"":43.8294203002024,""width"":1.3696284882725558,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":56.75088964643401,""y"":46.35128915304382,""width"":1.3696284882725558,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":65.83102824537455,""y"":72.59147853709023,""width"":1.3696284882725558,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",63.388,"2025-11-06T12:24:15.814056Z"
195,"1","2025-11-06T12:24:37.486701Z",193,"/data/upload/3/24a158fc-207_Color.png","[{""x"":13.062778395421592,""y"":70.26700203706861,""width"":1.3696284882725558,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":34.08411329396637,""y"":42.14131224319894,""width"":1.3696284882725558,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":45.837255809127186,""y"":35.62461447363209,""width"":1.3696284882725558,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":23.50628503032163,""y"":21.306768359627252,""width"":1.3696284882725558,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":43.62094893483972,""y"":19.965649604124238,""width"":1.3696284882725558,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":37.164460406874625,""y"":39.70447748504232,""width"":1.3696284882725558,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":54.32071611028797,""y"":42.66226053001391,""width"":1.3696284882725558,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":62.78743970418027,""y"":69.5079015568323,""width"":1.3696284882725558,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",21.316,"2025-11-06T12:24:37.486714Z"
196,"1","2025-11-06T12:24:54.407578Z",194,"/data/upload/3/9712276c-208_Color.png","[{""x"":13.500830506312534,""y"":70.11506943889468,""width"":1.3696284882725558,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":26.389162987254654,""y"":38.01954812639552,""width"":1.3696284882725558,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":40.349881470834525,""y"":35.01884491574801,""width"":1.3696284882725558,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":18.27378598257204,""y"":20.430319732068124,""width"":1.3696284882725558,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":40.57688502341307,""y"":19.82379461502235,""width"":1.3696284882725558,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":39.44186726052039,""y"":39.90296822669555,""width"":1.3696284882725558,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":51.30280288274882,""y"":42.58444769152949,""width"":1.3696284882725558,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":63.390742057555805,""y"":67.61158936331296,""width"":1.3696284882725558,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",16.575,"2025-11-06T12:24:54.407590Z"
197,"1","2025-11-06T12:26:44.836838Z",195,"/data/upload/3/c20d481c-209_Color.png","[{""x"":10.874471746557223,""y"":69.65020971523757,""width"":1.3696284882725558,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":27.458698956134285,""y"":40.76241677311668,""width"":1.3696284882725558,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":42.737785766151426,""y"":33.59216000537758,""width"":1.3696284882725558,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":18.68413855838708,""y"":20.675876459617015,""width"":1.3696284882725558,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":40.94794852282029,""y"":20.675876459617015,""width"":1.3696284882725558,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":35.403823296383,""y"":40.07485793597978,""width"":1.3696284882725558,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":48.36921851096469,""y"":43.14431703034097,""width"":1.3696284882725558,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":61.7594558827372,""y"":68.44507965699017,""width"":1.3696284882725558,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",109.975,"2025-11-06T12:26:44.836861Z"
198,"1","2025-11-06T12:27:31.511376Z",196,"/data/upload/3/ff0d0eeb-210_Color.png","[{""x"":17.938081526912374,""y"":73.4264325640614,""width"":1.3696284882725558,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":35.54041217240695,""y"":30.788569089229124,""width"":1.3696284882725558,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":18.19509675497029,""y"":22.24087169058565,""width"":1.3696284882725558,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":35.64037285634513,""y"":23.75923170499255,""width"":1.3696284882725558,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":26.592823780884583,""y"":44.81916013183643,""width"":1.3696284882725558,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":45.287782599438394,""y"":47.12478702607125,""width"":1.3696284882725558,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":63.782792271429855,""y"":70.4622401109393,""width"":1.3696284882725558,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",44.076,"2025-11-06T12:27:31.511391Z"
199,"1","2025-11-06T12:28:56.219198Z",197,"/data/upload/3/7884fed6-211_Color.png","[{""x"":17.458849467071698,""y"":72.05843470343588,""width"":1.3696284882725558,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":24.56166925617281,""y"":43.438720845753686,""width"":1.3696284882725558,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":39.241104397557336,""y"":34.917626972337466,""width"":1.3696284882725558,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":15.686846087485073,""y"":21.452483340810108,""width"":1.3696284882725558,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":33.292570046639305,""y"":22.423921167429466,""width"":1.3696284882725558,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":25.473138720710782,""y"":43.90338343470618,""width"":1.3696284882725558,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":42.88697675460894,""y"":44.955772252213336,""width"":1.3696284882725558,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":65.31996668556322,""y"":66.55261632506178,""width"":1.3696284882725558,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",84.339,"2025-11-06T12:28:56.219215Z"
200,"1","2025-11-06T12:29:25.868719Z",198,"/data/upload/3/6a82907a-212_Color.png","[{""x"":5.976068875306799,""y"":71.74572982981344,""width"":1.3696284882725558,""keypointlabels"":[""1""],""original_width"":720,""original_height"":1280},{""x"":34.29536187081993,""y"":40.01670825226259,""width"":1.3696284882725558,""keypointlabels"":[""2""],""original_width"":720,""original_height"":1280},{""x"":44.08413831448171,""y"":30.265343264446415,""width"":1.3696284882725558,""keypointlabels"":[""3""],""original_width"":720,""original_height"":1280},{""x"":35.73060573895373,""y"":22.395884246124897,""width"":1.3696284882725558,""keypointlabels"":[""4""],""original_width"":720,""original_height"":1280},{""x"":56.77664785808672,""y"":25.61209671750676,""width"":1.3696284882725558,""keypointlabels"":[""5""],""original_width"":720,""original_height"":1280},{""x"":32.44091987554524,""y"":37.75291361154412,""width"":1.3696284882725558,""keypointlabels"":[""6""],""original_width"":720,""original_height"":1280},{""x"":46.75795849408944,""y"":45.4803903803682,""width"":1.3696284882725558,""keypointlabels"":[""7""],""original_width"":720,""original_height"":1280},{""x"":68.19213696757046,""y"":69.17488117461147,""width"":1.3696284882725558,""keypointlabels"":[""8""],""original_width"":720,""original_height"":1280}]",29.308,"2025-11-06T12:29:25.868734Z"
